Inventario;Tipo materiale dell'inventario;Valore inventariale;Prezzo acquisto;Dati scarto/cancellazione;Sezione;Collocazione;Specificazione;Sequenza;Data inv.;Stato copia;Disponibilità;Precisazione inventario;Tipo provenienza;Tipo materiale;Tipo documento;Id.;Id. SBN;Descrizione isbd;Legami con titoli superiori o supplementi
RDm 830 ;;0;0;;FR.A;ALBUM;CECCHI; ;14/03/93;;;CP 32, L 15, CI 16, Buste 7 + 2 lettere a/di altri;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669290;;"*Emilio Cecchi : lettere a Giuseppe Raimondi, 1918-1965 / Emilio Cecchi. - 1918-1965. - 1 album (carpette numerate 1-46, 2 non numerate) ; 26 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: cartoline postali, lettere, cartoline illustrate dal 10 marzo 1918 al 16 marzo 1965 + buste. - L'album contiene anche: lettera del 29 giugno 1949 di E. C. a Gianfranco Contini su G. R.; lettera di Leonetta Cecchi Pieraccini a G. R. del 9 agosto 1969 con i saluti di Dario Cecchi.";
RDm 831 ;;0;0;;FR.A;ALBUM;VALERY; ;14/03/93;;;L 3, Trascr. 3, Buste 3, Ritagli di gior. 6, Fotocopie 3;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669286;;"*Tre lettere autografe di Paul Valery a Giuseppe Raimondi : 1925-1928. - 1925-1928. - 1 album (12 carpette non numerate) : ill. ; 25 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: lettere [17 maggio 1925], [6 ottobre 1925], 6 marzo 1928; trascrizioni ds. delle lettere; quattro fotografie di P. V. (ritagli di giornale); due fotocopie dei frontespizi delle opere di P. V. ""Une conquete methodique"" e ""M. Teste""; fotocopia di ritratto di P. V. di Rudolf Kundera ; due ritagli di giornale con: articolo sulla morte di P. V. e suo ex libris.";"HA PER ALTRO TITOLO 3669287 *Album Valery; HA PER ALTRO TITOLO 3669288 *Paul Valery. Autografi."
RDm 832 ;;0;0;;FR.A;ALBUM;UNGARE; ;14/03/93;;;Fotografie 4, Manoscritti 3 (11 c.),  Ritagli 4, CP 5, L 43, Riproduzioni di r itratti 3, Opuscolo 1;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669291;;"*Album Ungaretti. - 1918-1961. - 1 album (27 carpette numerate II, 1-52, 4 carpette non numerate) : ill. ; 37 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: fotografie di G. U.; poesia autografa di G. U.; articoli di G. U. (""Pittura cosmopolita"", ritaglio di giornale - ""Innocenza e memoria"", ms., 3 c., ""Stato della prosa francese, stampato con correzioni ms., 7 c.); ""Piccola posta"" di Ariel [Ardendo Soffici] (ritaglio di giornale); cartoline postali e lettere, 15 febbraio 1918 - 3 aprile 1961; riproduzioni di ritratti di G. U. (due ritagli ed una foto); articolo di G. R. su G. U. con disegno di Leo Longanesi (ritagli di giornale); ""2 poesie di Giuseppe Ungaretti"", Milano 1959, pieghevole a stampa; indice dell'album.";"CONTIENE ANCHE 3669292 *Atti primaverili e d'altre stagioni / Giuseppe Ungaretti; CONTIENE ANCHE 3669293 *Pittura cosmopolita / Giuseppe Ungaretti; CONTIENE ANCHE 3669294 *Innocenza e memoria / Giuseppe Ungaretti; CONTIENE ANCHE 3669295 *Stato della prosa francese / Giuseppe Ungaretti"
RDm 833 ;;0;0;;FR.A;ALBUM;CARRA; ;14/03/93;;;Fotografie 4, fotografie (ritagli) 3, riproduzioni opere C.C. 12, libro + cop 2, inviti 4, lettera 1, ms. 1, ritagli 4, CP  36, L 19;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669296;;"*Album Carra. - 1918-1962. - 1 album (32 carpette numerate IV, 1-62, 1 carpetta non numerata) : ill. ; 37 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: fotografie di C. C.; ritagli di giornale con foto di C. C.; volume di G. R. ""Carlo Carra"" (1 copia + 1 copertina); riproduzioni di opere di C. C. (ritagli e foto); inviti a mostre; ""Carra"" di Paolo Buzzi (ritaglio); lettera del 8.5.1919 a G. R. dello stabilimento fotografico ""A. Ferrario di Paolo Chini"" relativa all'acquisto di un quadro di C. C.; ""Il ritorno di Tobia"", racconto ms. di C. C.; parte di ritaglio di articolo di G. R. su C. C.; ""Contributo ad una nuova arte metafisica"" di C. C. (ritaglio); [poesia] di G. R. (ritaglio); catalogo della ""Mostra d'arte indipendente"", Roma, 1918; cartoline postali e lettere 17 gennaio 1918 - 9 maggio 1962 + buste.";"CONTIENE ANCHE 3669297 *Carra / Paolo Buzzi; CONTIENE ANCHE 3669298 Il *ritorno di Tobia / Carlo Carra; CONTIENE ANCHE 3669299 *Contributo ad una nuova metafisica / Carlo Carra"
RDm 834 ;;0;0;;FR.A;ALBUM;LONGAN; ;14/03/93;;;Pieghevoli + carta int. 3, foto 3, L 2, disegni 26, disegni (ripr.) 24, locand ine 2, ritagli 15, ms. 1, fotoc. 1, lunario 1, copertine 3, cart. ed. 6;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669315;;"*L. Longanesi, Giuseppe Raimondi. - 1927-1963. - 1 album (32 carpette numerate II, 1-62, 1 carpetta non numerata) : ill. ; 37 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: pieghevoli pubblicitari de ""L'italiano"", con carta intestata della rivista e del libro ""Domenico Giordani""; fotografie di L. L. e G. R.; lettere di L. L. 30 novembre 1941, 12 aprile 1928; disegni originali di L. L.; riproduzioni di disegni di L. L. (foto e ritagli); locandine de ""L'italiano""; articoli di G. R. da ""L'italiano"" (ritagli); ms. di G. R. ""Commento a due lettere""; ""Per una farfalla incontrata in mare"" di R. Bacchelli (ritaglio); ""Il serpente sodomita"" di C. Malaparte (ritaglio); fotocopia di pubblicita de ""L'italiano""; articolo di L. L. (ritaglio); lunario; ""L'armee du Reno"" di L. L. (ritaglio); copertine di opere di L. L.; cartoline editoriali. - Con indice dell'album.";"CONTIENE ANCHE 3669316 *Vecchiaia del Raimondi / [Leo Longanesi]; CONTIENE ANCHE 3669317 *Longanesi : fra Bologna e la Romagna / Giuseppe Raimondi; CONTIENE ANCHE 3669318 *Muschein il cane dell'italiano / [Giuseppe Raimondi]; CONTIENE ANCHE 3669319 Il *serpente sodomita / Malaparte; CONTIENE ANCHE 3669320 *Dino Campana romagnolo / G. R.; CONTIENE ANCHE 3669321 *Galleria di famiglia / G. R.; CONTIENE ANCHE 3669322 Il *pittore Rosai / Giuseppe Raimondi; CONTIENE ANCHE 3669323 *Morandi / Leo Longanesi; CONTIENE ANCHE 3669324 *Debito con Pascal / Giuseppe Raimondi; CONTIENE ANCHE 3669325 *Armee du Reno / Leo Longanesi; CONTIENE ANCHE 3669326 *Storia di Longanesi / Giuseppe Raimondi; CONTIENE ANCHE 3669327 *Commento a due lettere / Giuseppe Raimondi; CONTIENE ANCHE 3669328 *Per una farfalla incontrata in mare / Riccardo Bacchelli; CONTIENE ANCHE 3669329 *Sganarello : ritratto di un servo fedele / Giuseppe Raimondi; HA PER ALTRO TITOLO 3669330 *Album Longanesi"
RDm 835 ;;0;0;;FR.A;ALBUM;DEPISI; ;14/03/93;;;Foto di F.D.P. 15, disegni 37, disegni (ripr.) 27, ms. 5, libro 1, inv. e pie. 9, boll. 1, disegni di E.T. 4, BV 1, V 1, L 55, CP 31, locand. 1, rit. 3, f 2;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669308;;"*Album De Pisis. - 1916-1951. - 2 album (71 carpette numerate IV, 1-138) : ill. ; 37 cm. ((Gli album furono costituiti dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"" Bologna, 1977, e contengono: fotografie di F. D. P.; disegni di F. D. P.; riproduzioni di disegni di F. D. P. (foto, ritagli e cartoline); ms. di F. D. P. ""Henri Rousseau il doganiere"", ""Marinaio"", ""Storia di Baruccaba"" (di questo anche libretto a stampa), ""Ritratto"", ""L'alba"" ; inviti e pieghevoli di mostre; bollettino di sottoscrizione per i quadri di F. D. P.; lettera di F. D. P. del 17 luglio 1940 a Lazzari [?] relativa a mostra alla Galleria d'arte moderna di Roma; disegni di Ernesta Tibertelli; lettere, biglietto da visita, ricevuta di vaglia, cartoline postali e illustrate 16 aprile 1916 - 6 luglio 1951; locandina; ritagli; fotografie.";"CONTIENE ANCHE 3669309 L'*alba / Filippo De Pisis; CONTIENE ANCHE 3669310 *Henri Rousseau il doganiere / F. De Pisis; CONTIENE ANCHE 3669311 *Marinaio / F. De Pisis; CONTIENE ANCHE 3669312 *Ritratto / [Filippo De Pisis]"
RDm 836 ;;0;0;;FR.A;ALBUM;DADA; ;14/03/93;;;Ritagli 2, riproduzioni 9, op. 1, fasc. 3, foto 3, fotocopie 3, loc. 1, inv. 1 , mod. 1, piegh. 2, L 4, CP 6, ms. 1, buste 5;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669304;;"*Album dada. - 1916-1919. - 1 album (21 carpette numerate 1-42) : ill. ; 31 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: riproduzioni di opere (ritagli e fotocopie); opuscolo ""Cabaret Voltaire""; fascicoli 1 e 2, 4/5(""Anthologie Dada""), 1917-1918, della rivista ""Dada"" + fotografie del frontespizio del n. 3; fotocopie di pagine della rivista Nord Sud; fotocopia di ""Sopra un quadro cubista"" di G. R.; locandina; lettere e cartoline postali di Tristan Tzara a G. R. 8 dicembre 1916 - 17 settembre 1919 + buste; trascrizioni delle lettere e cartoline; ms. ""Circuit total par la lune et par la couleur"" di T. T.; pieghevoli pubblicitari, inviti e moduli di sottoscrizione per mostre e riviste; ritagli. - Con indice dell'album.";"CONTIENE ANCHE 3669305 *Circuit total par la lune et par la couleur / Tristan Tzara; CONTIENE ANCHE 3669306 *Sopra un quadro cubista / Giuseppe Raimondi"
RDm 837 ;;0;0;;FR.A;ALBUM;APOLLI; ;14/03/93;;;Lettere e cartoline: G.A. 6, P.R. 2, J.C. 1, M.J. 4, P.D. 1, A.B. 1, C.A. 3, B .C. 16 + 3. Pezzi totali 114 + indice;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669313;;"*Album Apollinaire ... Cendrars : Leger, Reverdy, Cocteau, Jacob, Dermee, Birot, Autant. - 1917-1957. - 1 album (38 carpette numerate 1-75) : ill. ; 37 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: cartoline e lettere di Guillame Apollinaire 4 aprile 1917 - 19 novembre 1918, con trascrizioni; lettera e cartolina postale di Pierre Reverdy 25 giugno 1917, 1918; lettera di Jean Cocteau del 22 febbraio 1918; lettere di Max Jacob 14 febbraio 1918 - 20 maggio 1924; lettera di Paul Dermee del 27 maggio 1919; cartolina postale di Albert Birot del 21 gennaio 1918; lettere di Claude Autant 21 luglio 1918 - 28 agosto 1918; lettere e cartoline di Blaise Cendrars 20 gennaio 1917 - 23 ottobre 1957, con trascrizioni + 1 firmata Ray e 2 Felicie Cendrars. - Contiene inoltre riproduzioni di opere, fotocopie, opuscoli, ritagli di giornale, fotografie (si veda indice nell'album).";
RDm 838 ;;0;0;;FR.A;ALBUM;REBORA; ;14/03/93;;;Foto (rit.) 6, articolo 1, poesie ms. 7, poesia (rit.) 1, CP 13, L 6, riprod. 2, opuscoli 2;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669334;;"*Album Rebora. - 1916-1956. - 1 album (17 carpette numerate IV, 1-30, 2 carpette non numerate) : ill. ; 31 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: fotografie di C. R. (ritagli); articolo di C. R. ""Il ritmo della campagna in citta"" (ritaglio); poesie ms. di C. R. ""Ritorno"", ""Viatico"", ""Tempo"", ""Canzoncina"", ""Vanno"", ""Fonte nella macerie"", ""Serenata del rospo""; cartoline postali e lettere 10 marzo 1918 - 9 gennaio [o 1 settembre] 1956; poesia di C. R. ""Ca delle sorgenti"" (ritaglio) ; riproduzioni di quadri di O. Rosai; opuscoli di C. R. ""Canti dell'infermita"" e ""Gesu il fedele"". - Con indice dell'album.";"CONTIENE ANCHE 3669335 *Canzoncina / Clemente Rebora; CONTIENE ANCHE 3669336 *Vanno / Clemente Rebora; CONTIENE ANCHE 3669337 Il *ritmo della campagna in citta / Clemente Rebora; CONTIENE ANCHE 3669338 *Ritorno / Clemente Rebora; CONTIENE ANCHE 3669339 *Viatico / Clemente Rebora; CONTIENE ANCHE 3669340 *Tempo / Clemente Rebora; CONTIENE ANCHE 3669341 *Fonte nella macerie / Clemente Rebora; CONTIENE ANCHE 3669342 *Serenata del rospo / Clemente Rebora; CONTIENE ANCHE 3669343 *Ca delle sorgenti / Clemente Rebora"
RDm 839 ;;0;0;;FR.A;ALBUM;ROSAI; ;14/03/93;;;Foto 6, ritagli 7, riproduzioni 58, fotocopie 2, L 26, opuscolo + riproduzioni 24 pz., fogl. pub. 1, locandina 1;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669344;;"*Album Rosai. - 1924-1955. - 1 album (39 carpette numerate VI, 1-72, 3 carpette non numerate) : ill. ; 37 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: fotografie di O. R.; ritagli con articoli di e su O. R.; riproduzioni di opere di O. R. (foto e ritagli); opuscolo ""Le svedesi di Rosai"" di Raffaello Franchi e riproduzioni dello stesso; lettere di O. R. a G. R. [10 agosto 1924] - 23 dicembre 1955; foglietto pubblicitario del libro di O. R. ""Vecchio autoritratto""; fotocopie dei frontespizi de ""Il libro di un teppista"" e ""Gli autoritratti"" di O. R.; pieghevole della mostra ""La figura umana nella pittura di Ottone Rosai"". - Con indice dell'album.";"CONTIENE ANCHE 3669322 Il *pittore Rosai / Giuseppe Raimondi; CONTIENE ANCHE 3669345 *Raffiguro la realta piu antica nell'angoscia del sogno moderno / Francesco Ar cangeli; CONTIENE ANCHE 3669346 *Barcaglio di ciaraffo / Ottone Rosai; CONTIENE ANCHE 3669347 Il *Rosai granatiere / Fernando Agnoletti; CONTIENE ANCHE 3669348 Una *lettera di Rosai; CONTIENE ANCHE 3669349 L'*essenziale / Ottone Rosai"
RDm 840 ;;0;0;;FR.A;ALBUM;BACCHE; ;14/03/93;;;Foto di R.B. 5, ms. 7, altre foto 4, ritagli 2, L 27 + 1, CP 3 + 1, locandina 1, ripr. frontespizio 1;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669357;;"*Album Bacchelli. - 1918-1968. - 1 album (31 carpette numerate IV, 1-58) : ill. ; 37 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: fotografie di R. B.; ms. di R. B. ""Giornate"", ""Per l'abolizione dei manifesti"", ""Ch. Baudelaire"", ""Il Carso"", necrologio di M. Fantini, ""Amicizia"", ""Maturita di lingua""; poesia ""Per una farfalla incontrata in mare"" di R. B. (ritaglio); fotografie; lettere e cartoline 20 agosto 1918 - 16 giugno 1968; cartolina intestata ""Il resto del carlino"" a R. B. firmata Alvaro; lettera di R. B. a Saffi; foto di locandina de ""L'italiano""; riproduzione del frontespizio di ""La ruota del tempo"" di R. B.; articolo di G. R. ""Bacchelli e il suo diavolo"" (ritaglio).";"CONTIENE ANCHE 3669328 *Per una farfalla incontrata in mare / Riccardo Bacchelli; CONTIENE ANCHE 3669358 *Giornate / Riccardo Bacchelli; CONTIENE ANCHE 3669359 *Per l'abolizione dei manifesti / Riccardo Bacchelli; CONTIENE ANCHE 3669360 *Ch. Baudelaire / Riccardo Bacchelli; CONTIENE ANCHE 3669361 Il *Carso / Riccardo Bacchelli; CONTIENE ANCHE 3669362 *Amicizia / Riccardo Bacchelli; CONTIENE ANCHE 3669363 *Maturita di lingua / Riccardo Bacchelli; CONTIENE ANCHE 3669364 *Bacchelli e il suo diavolo / Giuseppe Raimondi"
RDm 841 ;;0;0;;FR.A;ALBUM;CARDAR; ;14/03/93;;;Foto 4, disegni 7, cop. 5, ms. 7, ds. 7, ritagli 7, calendario 1, riprod. 4, C 15, L 46 + 2;A ACQUISTO;Mat. document.-manoscr;Materiale documentario;3669373;;"[*Album Cardarelli]. - 1916-1928. - 2 album (60 carpette numerate IV, 1-115, 2 carpette non numerate) : ill. ; 37 cm. ((L'album fu costituito dopo la mostra ""Giuseppe Raimondi fra poeti e pittori"", Bologna, 1977, e contiene: foto di V. C.; copertine de ""La raccolta""; ms. di V. C. ""Voce di donna"", ""Paesaggio"", ""Canto d'autunno"", ""Errori di don Giovanni"", ""Frammenti"", ""Idillio"", ""Alba""; articoli di e su V. C. + foto (ritagli); ds. di V. C. ""Donna"", ""Idea della morte"", ""Storia quotidiana"", ""Il mio addio a Pascoli"", ""Corollari antipascoliani"", ""Decadenza del genio"", ""Il poeta precoce""; riproduzioni di cop. de ""La ronda"", ""Terra genitrice"", ""Il sole a picco"", ""Giorni in piena"" (foto); lettere e cartoline 22 marzo 1918 [?] - 23 marzo 1928; lettera di G. Zorzi a V. C.; lettera di V. C. a Morandi del 29 maggio 1916; disegni (originali e ritagli); calendarietto de ""La ronda"". - Con indice dell'album.";"CONTIENE ANCHE 3669374 *Voce di donna / Vincenzo Cardarelli; CONTIENE ANCHE 3669375 *Paesaggio / Vincenzo Cardarelli; CONTIENE ANCHE 3669376 *Canto d'autunno / Vincenzo Cardarelli; CONTIENE ANCHE 3669377 *Donna / Vincenzo Cardarelli; CONTIENE ANCHE 3669378 *Idea della morte / Vincenzo Cardarelli; CONTIENE ANCHE 3669379 *Storia quotidiana / Vincenzo Cardarelli; CONTIENE ANCHE 3669380 Il *mio addio a Pascoli / Vincenzo Cardarelli; CONTIENE ANCHE 3669381 *Corollari antipascoliani / Vincenzo Cardarelli; CONTIENE ANCHE 3669382 *Decadenza del genio / Vincenzo Cardarelli; CONTIENE ANCHE 3669383 Il *poeta precoce / Vincenzo Cardarelli; CONTIENE ANCHE 3669384 *Errori di don Giovanni / Vincenzo Cardarelli; CONTIENE ANCHE 3669385 *Frammenti / Vincenzo Cardarelli; CONTIENE ANCHE 3669386 *Idillio / Vincenzo Cardarelli; CONTIENE ANCHE 3669387 *Alba / Vincenzo Cardarelli; CONTIENE ANCHE 3669388 *Difesa della Ronda / Giuseppe Raimondi; CONTIENE ANCHE 3669389 *Cardarelli chiromante / Giuseppe Raimondi; CONTIENE ANCHE 3669390 *Leopardi / Vincenzo Cardarelli"