inventario	entity_type	occurrence	wikidata	wikidata_code	VIAF_ID	wikidata_uri
RDq 5	PER	Paul Valery	Paul Valéry	Q200639
RDq 7	PER	Marcel Schwob	Marcel Schwob	Q472697
RDq 7	PER	Mario Marcucci	Mario Marcucci	Q21208726
RDq 9	PER	Rimbaud	Arthur Rimbaud	Q493
RDq 10	PER	Cardarelli	Vincenzo Cardarelli	Q922237
RDq 10	PER	Hemingway	Ernest Hemingway	Q23434
RDq 10	PER	Lorenzo Montano	Lorenzo Montano	Q3837018
RDq 10	PER	Lawrence d'Arabia	T. E. Lawrence	Q170596
RDq 12	PER	Guido Reni	Guido Reni	Q109061
RDq 13	PER	Rimbaud	Arthur Rimbaud	Q493
RDq 19	PER	Gerard de Nerval	Gérard de Nerval	Q191305
RDq 20	PER	Conrad	Joseph Conrad	Q82925
RDq 20	PER	Jahier	Piero Jahier	Q3903278
RDq 20	PER	Maccari	Mino Maccari	Q3858582
RDq 21	PER	Arturo Rimbaud	Arthur Rimbaud	Q493
RDq 22	PER	Apollinaire	Guillaume Apollinaire	Q133855
RDq 22	PER	Clemente Rebora	Clemente Rebora	Q3680468
RDq 23	PER	Carlo Porta	Carlo Porta	Q1248697
RDq 23	PER	Carlo Porta	Carlo Porta	Q1248697
RDq 24	PER	Apollinaire	Guillaume Apollinaire	Q133855
RDq 24	PER	Giovanni Verga	Giovanni Verga	Q271814
RDq 25	PER	Dante	Dante Alighieri	Q1067
RDq 26	PER	Antonio Fiacchi	Antonio Fiacchi	http://viaf.org/viaf/234456322
RDq 26	PER	Passerotti	Bartolomeo Passarotti	Q809512
RDq 27	PER	Umberto Saba	Umberto Saba	Q451312
RDq 29	PER	Sbarbaro	Camillo Sbarbaro	Q585401
RDq 30	PER	Bastianino	Sebastiano Filippi	Q3476895
RDq 30	PER	Gratella	Sebastiano Filippi	Q3476895
RDq 31	PER	Radiguet	Raymond Radiguet	Q333615
RDq 32	PER	Rosai	Ottone Rosai	Q719109
RDq 34	PER	Meryon	Charles Méryon	Q247505
RDq 37	PER	Pascarella	Cesare Pascarella	Q3665495
RDq 38	PER	Teresa Carniani Malvezzi	Teresa Carniani	Q3984273
RDq 39	PER	Teresa Malvezzi	Teresa Carniani	Q3984273
RDq 39	PER	Cornelia Martinelli	Cornelia Rossi-Martinetti	Q52709250
RDq 39	PER	Cornelia Martinetti	Cornelia Rossi-Martinetti	Q52709250
RDq 40	PER	T.S. Eliot	T. S. Eliot	Q37767
RDq 41	PER	Cornelia Martinetti	Cornelia Rossi-Martinetti	Q52709250
RDq 42	PER	Pontormo	Pontormo	Q207929
RDq 42	PER	Lorenzo Montano	Lorenzo Montano	Q3837018
RDq 42	PER	Pontormo	Pontormo	Q207929
RDq 44	PER	Pascal	Blaise Pascal	Q1290
RDq 45	PER	Diderot	Denis Diderot	Q448
RDq 46	PER	Annibale Carracci	Annibale Carracci	Q7824
RDq 47	PER	Antonio Rinaldi	Antonio Rinaldi	Q3620097
RDq 47	PER	Antonio Rinaldi	Antonio Rinaldi	Q3620097
RDq 48	PER	Giorgio Morandi	Giorgio Morandi	Q309618
RDq 48	PER	Montale	Eugenio Montale	Q83174
RDq 49	PER	Germano Passarelli	Germano Pessarelli	http://viaf.org/viaf/96417864
RDq 50	PER	Van Eyck	Jan van Eyck	Q102272
RDq 50	PER	Petrus Cristus	Petrus Christus	Q312616
RDq 50	PER	Rubens	Peter Paul Rubens	Q5599
RDq 51	PER	Guillaume Apollinaire	Guillaume Apollinaire	Q133855
RDq 51	PER	Odilon Redon	Odilon Redon	Q154349
RDq 52	PER	Monsu Bernardo	Bernhard Keil	Q259393
RDq 53	PER	Manzoni	Alessandro Manzoni	Q1064
RDq 54	PER	Bacchelli	Mario Bacchelli	Q20735044
RDq 54	PER	Bacchelli	Mario Bacchelli	Q20735044
RDq 55	PER	Corot	Jean-Baptiste Camille Corot	Q148475
RDq 56	PER	Dino Campana	Dino Campana	Q2271183
RDq 56	PER	Campana	Dino Campana	Q2271183
RDq 56	PER	Dino Campana	Dino Campana	Q2271183
RDq 57	PER	Andre Derain	André Derain	Q156272
RDq 58	PER	Cecchi	Emilio Cecchi	Q708563
RDq 58	PER	Cardarelli	Vincenzo Cardarelli	Q922237
RDq 59	PER	Joyce	James Joyce	Q6882
RDq 59	PER	Joyce	James Joyce	Q6882
RDq 59	PER	Joyce	James Joyce	Q6882
RDq 60	PER	Virgilio Giotti	Virgilio Giotti	Q2160344
RDq 64	PER	Pasternak	Boris Pasternak	Q41223
RDq 64	PER	Baudelaire	Charles Baudelaire	Q501
RDq 64	PER	Boris Pasternak	Boris Pasternak	Q41223
RDq 65	PER	Cezanne	Paul Cézanne	Q35548
RDq 65	PER	Leopoldo Longanesi	Leo Longanesi	Q1818677
RDq 66	PER	Romagnoli	Giovanni Romagnoli	Q3768048
RDq 67	PER	Blaise Cendras	Blaise Cendrars	Q123080
RDq 68	PER	De Pisis	Filippo De Pisis	Q661473
RDq 68	PER	De Pisis	Filippo De Pisis	Q661473
RDq 70	PER	Longanesi	Leo Longanesi	Q1818677
RDq 70	PER	Bino Binazzi	Bino Binazzi	Q3640117
RDq 74	PER	Campana	Dino Campana	Q2271183
RDq 74	PER	Sibilla Aleramo	Sibilla Aleramo	Q287741
RDq 75	PER	Lautreamont	Comte de Lautréamont	Q294181
RDq 76	PER	Sibilla	Sibilla Aleramo	Q287741
RDq 76	PER	Cocteau	Jean Cocteau	Q83158
RDq 77	PER	Georges Seurat	Georges Seurat	Q34013
RDq 78	PER	Pascoli	Giovanni Pascoli	Q375998
RDq 78	PER	Montaigne	Michel de Montaigne	Q41568
RDq 78	PER	Pessarelli	Germano Pessarelli	http://viaf.org/viaf/96417864
RDq 81	PER	Gerard de Nerval	Gérard de Nerval	Q191305
RDq 81	PER	Nerval	Gérard de Nerval	Q191305
RDq 82	PER	Charles Peguy	Charles Péguy	Q334965
RDq 82	PER	Peguy	Charles Péguy	Q334965
RDq 83	PER	Barocci	Federico Barocci	Q316731
RDq 83	PER	Cuccoli	Filippo Cuccoli	
RDq 84	PER	De Pisis	Filippo De Pisis	Q661473
RDq 84	PER	Cavafis	Konstantinos P. Cavafy	Q216980
RDq 84	PER	Isacco Babel	Isaak Babel	Q49080
RDq 85	PER	Ingres	Jean Auguste Dominique Ingres	Q23380
RDq 85	PER	Ingres	Jean Auguste Dominique Ingres	Q23380
RDq 86	PER	Brandi	Cesare Brandi	Q1056780
RDq 87	PER	Lorenzo Montano	Lorenzo Montano	Q3837018
RDq 88	PER	Apollinaire	Guillaume Apollinaire	Q133855
RDq 90	PER	A. Modigliani	Amedeo Modigliani	Q120993
RDq 91	PER	Bellotto	Bernardo Bellotto	Q164688
RDq 92	PER	Antonin Artaud	Antonin Artaud	Q187166
RDq 92	PER	Artaud	Antonin Artaud	Q187166
RDq 94	PER	Corrado Corazza	Corrado Corazza	http://viaf.org/viaf/22065938
RDq 97	PER	Michael Sweerts	Michiel Sweerts	Q1342328
RDq 97	PER	Mallarme	Stéphane Mallarmé	Q767
RDq 98	PER	Casanova	Giacomo Casanova	Q83321
RDq 99	PER	Giotto	Giotto di Bondone	Q7814
RDq 99	PER	Giotto	Giotto di Bondone	Q7814
RDq 99	PER	Cesare Gnudi	Cesare Gnudi	Q16268417
RDq 99	PER	Giotto	Giotto di Bondone	Q7814
RDq 100	PER	La Fayette	Gilbert du Motier, Marquis de Lafayette	Q186652
RDq 101	PER	Guido Cagnacci	Guido Cagnacci	Q2449649
RDq 101	PER	Guido Cagnacci	Guido Cagnacci	Q2449649
RDq 102	PER	Stendhal	Stendhal	Q502
RDq 103	PER	Vuillard	Édouard Vuillard	Q239394
RDq 105	PER	Henri Michaux	Henri Michaux	Q160780
RDq 106	PER	Soffici	Mario Soffici	Q10752256
RDq 106	PER	Soffici	Mario Soffici	Q10752256
RDq 108	PER	Radiguet	Raymond Radiguet	Q333615
RDq 108	PER	Paul Klee	Paul Klee	Q44007
RDq 110	PER	Mazzoni	Sebastiano Mazzoni	Q2327193
RDq 110	PER	Vuillard	Édouard Vuillard	Q239394
RDq 111	PER	Domenico Giordani	Domenico Giordani	Q16550375
RDq 111	PER	William Faulkner	William Faulkner	Q38392
RDq 112	PER	Corazzini	Sergio Corazzini	Q1377174
RDq 113	PER	Laforgue	Jules Laforgue	Q380275
RDq 114	PER	Sbarbaro	Camillo Sbarbaro	Q585401
RDq 115	PER	Baudelaire	Charles Baudelaire	Q501
RDq 115	PER	Giotti	Giotto di Bondone	Q7814
RDq 116	PER	Alberto Mondadori	Alberto Mondadori	Q3608456
RDq 116	PER	Picasso	Pablo Picasso	Q5593
RDq 117	PER	Valery	Paul Valéry	Q200639
RDq 118	PER	Radiguet	Raymond Radiguet	Q333615
RDq 118	PER	Raymond Radiguet	Raymond Radiguet	Q333615
RDq 119	PER	Canova	Antonio Canova	Q5547
RDq 119	PER	Canova	Antonio Canova	Q5547
RDq 120	PER	Carlo Porta	Carlo Porta	Q1248697
RDq 120	PER	D. Isella	Dante Isella	Q674132
RDq 120	PER	Carlo Porta	Carlo Porta	Q1248697
RDq 121	PER	Diego Valeri	Diego Valeri	Q615053
RDq 121	PER	Diego Valeri	Diego Valeri	Q615053
RDq 122	PER	Soffici	Mario Soffici	Q10752256
RDq 123	PER	Cecchi	Emilio Cecchi	Q708563
RDq 124	PER	Jules Supervielle	Jules Supervielle	Q732569
RDq 125	PER	Degas	Edgar Degas	Q46373
RDq 125	PER	Durand-Ruel	Paul Durand-Ruel	Q649052
RDq 125	PER	Degas	Edgar Degas	Q46373
RDq 126	PER	Brandi	Cesare Brandi	Q1056780
RDq 127	PER	Apollinaire	Guillaume Apollinaire	Q133855
RDq 127	PER	Apollinaire	Guillaume Apollinaire	Q133855
RDq 129	PER	Paul Klee	Paul Klee	Q44007
RDq 130	PER	Ingres	Jean Auguste Dominique Ingres	Q23380
RDq 131	PER	Vita	Vita	Q24006244
RDq 131	PER	Ottone Rosai	Ottone Rosai	Q719109
RDq 132	PER	Carlo Carra	Carlo Carrà	Q168496
RDq 133	PER	Dino Campana	Dino Campana	Q2271183
RDq 134	PER	Blaise Cendras	Blaise Cendrars	Q123080
RDq 135	PER	Jouhandeau	Marcel Jouhandeau	Q561479
RDq 136	PER	Marcel Schwob	Marcel Schwob	Q472697
RDq 136	PER	Marcel Schwob	Marcel Schwob	Q472697
RDq 137	PER	Rousseau	Jean-Jacques Rousseau	Q6527
RDq 137	PER	Pierre Reverdy	Pierre Reverdy	Q379931
RDq 137	PER	Manara Valgimigli	Manara Valgimigli	Q3844245
RDq 137	PER	Rousseau	Jean-Jacques Rousseau	Q6527
RDq 138	PER	Ungaretti	Giuseppe Ungaretti	Q311802
RDq 138	PER	Rimbaud	Arthur Rimbaud	Q493
RDq 139	PER	Leopardi	Giacomo Leopardi	Q172599
RDq 139	PER	Brancusi	Constantin Brâncuși	Q153048
RDq 141	PER	Daumier	Honoré Daumier	Q187506
RDq 143	PER	Pascal	Blaise Pascal	Q1290
RDq 144	PER	Bacchelli	Mario Bacchelli	Q20735044
RDq 145	PER	Giovanni Romagnoli	Giovanni Romagnoli	Q3768048
RDq 146	PER	Gustave Moreau	Gustave Moreau	Q203828
RDq 146	PER	Pascal	Blaise Pascal	Q1290
RDq 146	PER	Chardin	Jean-Baptiste-Siméon Chardin	Q207447
RDq 146	PER	Gustave Moreau	Gustave Moreau	Q203828
RDq 146	PER	Chardin	Jean-Baptiste-Siméon Chardin	Q207447
RDq 146	PER	Chardin	Jean-Baptiste-Siméon Chardin	Q207447
RDq 147	PER	Pascal	Blaise Pascal	Q1290
RDq 147	PER	P. Valery	Paul Valéry	Q200639
RDq 147	PER	Ingres	Jean Auguste Dominique Ingres	Q23380
RDq 147	PER	Gericault	Théodore Géricault	Q184212
RDq 147	PER	Chardin	Jean-Baptiste-Siméon Chardin	Q207447
RDq 148	PER	Rodin	Auguste Rodin	Q30755
RDq 149	PER	Lea Colliva	Lea Colliva	http://viaf.org/viaf/34155224504384372528
RDq 150	PER	Gericault	Théodore Géricault	Q184212
RDq 150	PER	Valery	Paul Valéry	Q200639
RDq 150	PER	Gericault	Théodore Géricault	Q184212
RDq 151	PER	Verga	Giovanni Verga	Q271814
RDq 151	PER	Jackson Pollock	Jackson Pollock	Q37571
RDq 152	PER	Michelangelo	Michelangelo	Q5592
RDq 154	PER	Oskar Kokoschka	Oskar Kokoschka	Q154260
RDq 155	PER	Giani	Felice Giani	Q3105258
RDq 155	PER	Michelangelo	Michelangelo	Q5592
RDq 156	PER	G. R. a Camerani	Sergio Camerani	http://viaf.org/viaf/200256858
RDq 158	PER	Piranesi	Giovanni Battista Piranesi	Q316307
RDq 158	PER	Pascoli	Giovanni Pascoli	Q375998
RDq 158	PER	Pascoli	Giovanni Pascoli	Q375998
RDq 161	PER	Giovanni Verga	Giovanni Verga	Q271814
RDq 161	PER	Giovanni Verga	Giovanni Verga	Q271814
RDq 162	PER	Mantegna	Andrea Mantegna	Q5681
RDq 162	PER	Andrea Mantegna	Andrea Mantegna	Q5681
RDq 162	PER	Mantegna	Andrea Mantegna	Q5681
RDq 163	PER	Cesare Gnudi	Cesare Gnudi	Q16268417
RDq 164	PER	Odilon Redon	Odilon Redon	Q154349
RDq 164	PER	Arshile Gorky	Arshile Gorky	Q165648
RDq 164	PER	Gorky	Arshile Gorky	Q165648
RDq 165	PER	Pascal	Blaise Pascal	Q1290
RDq 165	PER	Pascal	Blaise Pascal	Q1290
RDq 166	PER	Ugo	Ugo Valeri	Q4002917
RDq 166	PER	Diego Valeri	Diego Valeri	Q615053
RDq 168	PER	Bottrigari	Enrico Bottrigari	Q87711180
RDq 168	PER	Berenson	Bernard Berenson	Q359047
RDq 168	PER	Il Giacometti	Alberto Giacometti	Q157194
RDq 168	PER	Palma Bucarelli	Palma Bucarelli	Q3892735
RDq 168	PER	Alberto Giacometti	Alberto Giacometti	Q157194
RDq 169	PER	Laclos	Pierre Choderlos de Laclos	Q212476
RDq 169	PER	Antonio Baldini	Antonio Baldini	Q599687
RDq 169	PER	Baldini	Antonio Baldini	Q599687
RDq 169	PER	Baldini	Antonio Baldini	Q599687
RDq 170	PER	Vitale da Bologna	Vitale da Bologna	Q2575398
RDq 170	PER	Gnudi	Cesare Gnudi	Q16268417
RDq 170	PER	Marc Chagall	Marc Chagall	Q93284
RDq 170	PER	Vitale da Bologna	Vitale da Bologna	Q2575398
RDq 170	PER	Chagall	Marc Chagall	Q93284
RDq 170	PER	Marc Chagall	Marc Chagall	Q93284
RDq 171	PER	Cardarelli	Vincenzo Cardarelli	Q922237
RDq 171	PER	Cezanne	Paul Cézanne	Q35548
RDq 171	PER	Pascal	Blaise Pascal	Q1290
RDq 171	PER	Vincenzo Cardarelli	Vincenzo Cardarelli	Q922237
RDq 171	PER	Pascal	Blaise Pascal	Q1290
RDq 171	PER	Serini	Paolo Serini	Q15918700
RDq 172	PER	Piranesi	Giovanni Battista Piranesi	Q316307
RDq 173	PER	Antonio	Antonio Vivarini	Q935534
RDq 173	PER	Bartolomeo	Bartolomeo Vivarini	Q456971
RDq 173	PER	Alvise Vivarini	Alvise Vivarini	Q1258585
RDq 173	PER	Magalotti	Lorenzo Magalotti	Q590501
RDq 173	PER	Carlo Bonomi	Carlo Bonomi	Q27825154
RDq 173	PER	Rodolfo Pallucchini	Rodolfo Pallucchini	Q3438258
RDq 173	PER	Carlo Bonomi	Carlo Bonomi	Q27825154
RDq 174	PER	Longhi	Roberto Longhi	Q1361667
RDq 175	PER	Stendhal	Stendhal	Q502
RDq 175	PER	Athos Casarini	Athos Casarini	Q18509114
RDq 175	PER	Athos Casarini	Athos Casarini	Q18509114
RDq 175	PER	Athos Casarini	Athos Casarini	Q18509114
RDq 176	PER	Caravaggio	Caravaggio	Q42207
RDq 177	PER	Piero Jahier	Piero Jahier	Q3903278
RDq 179	PER	Luigi Bartolini	Luigi Bartolini	Q172346
RDq 180	PER	Giulio Carpioni	Giulio Carpioni	Q1528009
RDq 181	PER	Petrarca	Francesco Petrarca	Q1401
RDq 182	PER	Claude Lorrain	Claude Lorrain	Q214074
RDq 182	PER	Picasso	Pablo Picasso	Q5593
RDq 182	PER	Claude Lorrain	Claude Lorrain	Q214074
RDq 184	PER	Mario Ricci	Mario Ricci	
RDq 184	PER	De Logu	Giuseppe Delogu	Q55226990
RDq 184	PER	Giuseppe De Logu	Giuseppe Delogu	Q55226990
RDq 185	PER	Longanesi	Leo Longanesi	Q1818677
RDq 185	PER	Govoni	Corrado Govoni	Q345236
RDq 185	PER	De Pisis	Filippo De Pisis	Q661473
RDq 187	PER	Delacroix	Eugène Delacroix	Q33477
RDq 187	PER	Berenson	Bernard Berenson	Q359047
RDq 188	PER	Giuseppe Gioacchino Belli	Giuseppe Gioachino Belli	Q2080788
RDq 188	PER	Andre Gide	André Gide	Q47484
RDq 188	PER	Belli	Giuseppe Gioachino Belli	Q2080788
RDq 189	PER	Il Bastianino	Sebastiano Filippi	Q3476895
